STATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
USW00013743,2010-12-01,19.8,0.0,,18.3,2.2
USW00013743,2010-12-02,0.0,0.0,,6.1,0.0
USW00013743,2010-12-03,0.0,0.0,,6.1,1.1
USW00013743,2010-12-04,0.0,0.0,,6.1,-0.6
USW00013743,2010-12-05,0.0,0.0,,5.0,0.0
USW00013743,2010-12-06,0.0,0.0,,3.9,-1.1
USW00013743,2010-12-07,0.0,0.0,,2.2,-2.2
USW00013743,2010-12-08,0.0,0.0,,2.8,-3.3
USW00013743,2010-12-09,0.0,0.0,,2.8,-3.3
USW00013743,2010-12-10,0.0,0.0,,3.9,-2.8
USW00013743,2010-12-11,1.3,0.0,,8.3,-1.1
USW00013743,2010-12-12,19.6,0.0,,7.2,3.3
USW00013743,2010-12-13,0.0,5.0,,4.4,-5.6
USW00013743,2010-12-14,0.0,0.0,,-2.2,-5.6
USW00013743,2010-12-15,0.0,0.0,,1.1,-6.1
USW00013743,2010-12-16,4.3,38.0,,-2.8,-6.1
USW00013743,2010-12-17,0.0,0.0,,3.9,-5.6
USW00013743,2010-12-18,0.0,0.0,,2.2,-5.0
USW00013743,2010-12-19,0.0,0.0,,3.3,-2.8
USW00013743,2010-12-20,0.0,0.0,,3.3,-3.9
USW00013743,2010-12-21,0.0,0.0,,5.0,-1.7
USW00013743,2010-12-22,0.0,0.0,,7.2,1.1
USW00013743,2010-12-23,0.0,0.0,,6.7,0.0
USW00013743,2010-12-24,0.0,0.0,,5.0,-0.6
USW00013743,2010-12-25,0.0,0.0,,2.2,0.0
USW00013743,2010-12-26,0.3,10.0,,0.6,-2.2
USW00013743,2010-12-27,0.0,0.0,,2.8,-2.8
USW00013743,2010-12-28,0.0,0.0,,7.8,-2.2
USW00013743,2010-12-29,0.0,0.0,,8.9,-1.1
USW00013743,2010-12-30,0.0,0.0,,8.3,-2.2
USW00013743,2010-12-31,0.0,0.0,,10.0,0.0
USW00013743,2011-01-01,0.3,0.0,,14.4,1.1
USW00013743,2011-01-02,1.5,0.0,,15.0,1.1
USW00013743,2011-01-03,0.0,0.0,,5.0,-2.2
USW00013743,2011-01-04,0.0,0.0,,6.1,-3.9
USW00013743,2011-01-05,0.0,0.0,,6.1,-0.6
USW00013743,2011-01-06,0.0,0.0,,5.0,-2.2
