STATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WSF2,WSFG
USW00013743,2010-12-01,7.3,19.8,0.0,,18.3,2.2,14.8,
USW00013743,2010-12-02,3.3,0.0,0.0,,6.1,0.0,7.2,
USW00013743,2010-12-03,4.2,0.0,0.0,,6.1,1.1,7.6,
USW00013743,2010-12-04,4.2,0.0,0.0,,6.1,-0.6,7.6,
USW00013743,2010-12-05,6.8,0.0,0.0,,5.0,0.0,12.5,
USW00013743,2010-12-06,6.9,0.0,0.0,,3.9,-1.1,13.9,
USW00013743,2010-12-07,6.9,0.0,0.0,,2.2,-2.2,11.6,
USW00013743,2010-12-08,4.7,0.0,0.0,,2.8,-3.3,9.8,
USW00013743,2010-12-09,3.1,0.0,0.0,,2.8,-3.3,8.0,
USW00013743,2010-12-10,2.2,0.0,0.0,,3.9,-2.8,4.5,
USW00013743,2010-12-11,2.0,1.3,0.0,,8.3,-1.1,4.0,
USW00013743,2010-12-12,3.3,19.6,0.0,,7.2,3.3,9.8,
USW00013743,2010-12-13,7.4,0.0,5.0,,4.4,-5.6,13.0,
USW00013743,2010-12-14,7.8,0.0,0.0,,-2.2,-5.6,13.4,
USW00013743,2010-12-15,5.4,0.0,0.0,,1.1,-6.1,9.8,
USW00013743,2010-12-16,2.2,4.3,38.0,,-2.8,-6.1,6.7,
USW00013743,2010-12-17,3.3,0.0,0.0,,3.9,-5.6,7.6,
USW00013743,2010-12-18,1.6,0.0,0.0,,2.2,-5.0,4.0,
USW00013743,2010-12-19,4.4,0.0,0.0,,3.3,-2.8,8.9,
USW00013743,2010-12-20,6.0,0.0,0.0,,3.3,-3.9,11.2,
USW00013743,2010-12-21,4.8,0.0,0.0,,5.0,-1.7,9.4,
USW00013743,2010-12-22,4.8,0.0,0.0,,7.2,1.1,10.3,
USW00013743,2010-12-23,8.9,0.0,0.0,,6.7,0.0,16.1,
USW00013743,2010-12-24,6.0,0.0,0.0,,5.0,-0.6,10.3,
USW00013743,2010-12-25,3.0,0.0,0.0,,2.2,0.0,5.4,
USW00013743,2010-12-26,7.2,0.3,10.0,,0.6,-2.2,13.4,
USW00013743,2010-12-27,9.8,0.0,0.0,,2.8,-2.8,16.5,
USW00013743,2010-12-28,4.7,0.0,0.0,,7.8,-2.2,11.6,
USW00013743,2010-12-29,3.1,0.0,0.0,,8.9,-1.1,8.9,
USW00013743,2010-12-30,2.0,0.0,0.0,,8.3,-2.2,5.8,
USW00013743,2010-12-31,1.6,0.0,0.0,,10.0,0.0,4.0,
USW00013743,2011-01-01,3.2,0.3,0.0,,14.4,1.1,7.6,
USW00013743,2011-01-02,4.9,1.5,0.0,,15.0,1.1,10.3,
USW00013743,2011-01-03,4.6,0.0,0.0,,5.0,-2.2,9.8,
USW00013743,2011-01-04,2.9,0.0,0.0,,6.1,-3.9,6.7,
USW00013743,2011-01-05,3.8,0.0,0.0,,6.1,-0.6,7.6,
USW00013743,2011-01-06,2.1,0.0,0.0,,5.0,-2.2,6.3,
USW00013743,2011-01-07,3.2,0.0,0.0,,1.7,-0.6,7.6,
USW00013743,2011-01-08,5.1,0.5,10.0,,1.7,-4.4,11.6,
USW00013743,2011-01-09,6.7,0.0,0.0,,2.2,-5.0,11.6,
USW00013743,2011-01-10,4.0,0.0,0.0,,1.7,-3.9,7.2,
USW00013743,2011-01-11,1.8,2.8,25.0,,1.1,-2.2,4.5,
USW00013743,2011-01-12,5.6,0.0,0.0,,2.2,-2.8,12.5,
USW00013743,2011-01-13,5.5,0.0,0.0,,2.8,-3.3,11.2,
USW00013743,2011-01-14,2.4,0.0,0.0,,2.8,-5.0,7.6,
USW00013743,2011-01-15,2.9,0.0,0.0,,7.8,-2.2,7.2,
USW00013743,2011-01-16,3.8,0.0,0.0,,5.6,-0.6,10.3,
USW00013743,2011-01-17,3.6,6.1,5.0,,0.6,-1.7,6.3,
USW00013743,2011-01-18,3.8,4.8,0.0,,2.2,-1.1,8.0,
USW00013743,2011-01-19,3.9,0.5,0.0,,11.7,1.7,9.8,
USW00013743,2011-01-20,3.8,0.0,0.0,,6.7,1.7,8.9,
USW00013743,2011-01-21,6.4,0.3,3.0,,3.9,-6.7,13.0,
USW00013743,2011-01-22,3.3,0.0,0.0,,-2.2,-8.3,10.3,
USW00013743,2011-01-23,4.5,0.0,0.0,,0.0,-7.8,9.8,
USW00013743,2011-01-24,3.1,0.0,0.0,,0.0,-8.3,6.3,
USW00013743,2011-01-25,2.4,0.0,0.0,,7.8,-1.7,6.3,
USW00013743,2011-01-26,5.7,38.6,127.0,,2.8,0.6,9.8,
USW00013743,2011-01-27,3.5,0.0,0.0,,2.8,-0.6,9.8,
USW00013743,2011-01-28,2.7,1.8,15.0,,3.3,-1.1,7.2,
USW00013743,2011-01-29,2.6,0.0,0.0,,2.8,-1.7,6.7,
USW00013743,2011-01-30,1.4,0.0,0.0,,6.7,-2.8,5.8,
USW00013743,2011-01-31,3.4,0.0,0.0,,2.8,-1.7,6.7,
USW00013743,2011-02-01,0.9,2.5,0.0,,3.3,-1.7,4.5,
USW00013743,2011-02-02,4.7,16.8,0.0,,11.1,1.1,12.5,
USW00013743,2011-02-03,4.9,0.0,0.0,,2.8,-1.7,10.7,
USW00013743,2011-02-04,2.5,0.0,0.0,,5.6,-2.2,5.4,
USW00013743,2011-02-05,2.6,3.6,0.0,,5.6,1.1,8.9,
USW00013743,2011-02-06,2.6,0.0,0.0,,9.4,2.2,9.4,
USW00013743,2011-02-07,0.9,0.0,0.0,,10.0,-1.1,4.5,
USW00013743,2011-02-08,7.1,0.3,0.0,,5.0,-3.9,13.0,
USW00013743,2011-02-09,3.6,0.3,3.0,,0.6,-7.2,8.0,
USW00013743,2011-02-10,4.1,0.0,0.0,,1.1,-4.4,9.4,
USW00013743,2011-02-11,1.8,0.0,0.0,,6.7,-5.6,5.8,
USW00013743,2011-02-12,3.8,0.0,0.0,,8.3,-5.0,10.7,
USW00013743,2011-02-13,5.0,0.0,0.0,,12.2,0.0,10.7,
USW00013743,2011-02-14,7.8,0.0,0.0,,21.1,6.1,14.8,
USW00013743,2011-02-15,5.5,0.0,0.0,,8.3,0.6,14.8,
USW00013743,2011-02-16,4.7,0.0,0.0,,14.4,0.0,9.8,
USW00013743,2011-02-17,4.3,0.0,0.0,,22.2,6.1,8.0,
USW00013743,2011-02-18,5.0,0.0,0.0,,25.0,11.1,13.0,
USW00013743,2011-02-19,9.4,0.0,0.0,,15.0,3.9,17.0,
USW00013743,2011-02-20,4.0,0.0,0.0,,10.0,0.0,11.6,
USW00013743,2011-02-21,5.5,3.6,5.0,,12.8,-1.1,10.7,
USW00013743,2011-02-22,4.2,1.8,5.0,,2.8,-2.8,9.8,
USW00013743,2011-02-23,1.7,0.0,0.0,,7.8,-3.9,4.0,
USW00013743,2011-02-24,4.7,1.5,0.0,,11.7,-0.6,9.8,
USW00013743,2011-02-25,6.9,6.9,0.0,,19.4,2.8,18.3,
USW00013743,2011-02-26,3.5,0.0,0.0,,9.4,1.7,7.6,
USW00013743,2011-02-27,2.1,0.0,0.0,,15.6,2.2,5.8,
USW00013743,2011-02-28,4.9,16.8,0.0,,22.2,5.6,12.5,
USC00186350,2010-12-01,,7.9,0.0,,18.9,8.9,,
USC00186350,2010-12-02,,11.9,0.0,,18.3,-2.8,,
USC00186350,2010-12-03,,0.0,0.0,,6.1,-0.6,,
USC00186350,2010-12-04,,0.0,0.0,,5.0,-1.7,,
USC00186350,2010-12-05,,0.0,0.0,,6.7,-2.2,,
USC00186350,2010-12-06,,0.0,0.0,,5.0,-1.7,,
USC00186350,2010-12-07,,0.0,0.0,,2.8,-3.3,,
USC00186350,2010-12-08,,0.0,0.0,,2.2,-4.4,,
USC00186350,2010-12-09,,0.0,0.0,,2.8,-5.0,,
USC00186350,2010-12-10,,0.0,0.0,,3.3,-6.7,,
USC00186350,2010-12-11,,0.0,0.0,,5.0,-3.3,,
USC00186350,2010-12-12,,9.7,0.0,,7.8,-2.2,,
USC00186350,2010-12-13,,10.2,0.0,,8.3,-1.1,,
USC00186350,2010-12-14,,0.0,5.0,,2.8,-7.2,,
USC00186350,2010-12-15,,0.0,0.0,,-2.8,-7.2,,
USC00186350,2010-12-16,,0.0,0.0,,0.6,-8.3,,
USC00186350,2010-12-17,,4.1,33.0,,-1.7,-6.7,,
USC00186350,2010-12-18,,0.0,0.0,,3.3,-6.7,,
USC00186350,2010-12-19,,0.0,0.0,,4.4,-4.4,,
USC00186350,2010-12-20,,0.0,0.0,,3.9,-6.1,,
USC00186350,2010-12-21,,0.0,0.0,,2.8,-3.3,,
USC00186350,2010-12-22,,0.0,0.0,,4.4,-2.8,,
USC00186350,2010-12-23,,0.0,0.0,,7.2,-1.1,,
USC00186350,2010-12-24,,0.0,0.0,,6.1,-1.7,,
USC00186350,2010-12-25,,0.0,0.0,,5.0,-1.7,,
USC00186350,2010-12-26,,0.0,0.0,,2.2,-1.7,,
USC00186350,2010-12-27,,0.5,5.0,,-0.6,-3.9,,
USC00186350,2010-12-28,,0.0,0.0,,2.2,-2.8,,
USC00186350,2010-12-29,,0.0,0.0,,7.2,-3.3,,
USC00186350,2010-12-30,,0.0,0.0,,8.9,-5.0,,
USC00186350,2010-12-31,,0.0,0.0,,8.3,-5.0,,
USC00186350,2011-01-01,,0.0,0.0,,11.1,-4.4,,
USC00186350,2011-01-02,,0.0,0.0,,10.0,-1.7,,
USC00186350,2011-01-03,,10.2,0.0,,5.6,-3.3,,
USC00186350,2011-01-04,,0.0,0.0,,4.4,-6.7,,
USC00186350,2011-01-05,,0.0,0.0,,7.2,-3.3,,
USC00186350,2011-01-06,,0.0,0.0,,5.6,-5.6,,
USC00186350,2011-01-08,,0.0,3.0,,1.1,-3.9,,
USC00186350,2011-01-09,,0.0,,,0.0,-5.6,,
USC00186350,2011-01-11,,0.0,0.0,,2.8,-6.7,,
USC00186350,2011-01-12,,3.6,33.0,,1.7,-4.4,,
USC00186350,2011-01-13,,0.0,0.0,,2.2,-3.9,,
USC00186350,2011-01-15,,0.0,0.0,,1.1,-5.6,,
USC00186350,2011-01-16,,0.0,0.0,,5.6,-5.6,,
USC00186350,2011-01-17,,0.0,0.0,,4.4,-4.4,,
USC00186350,2011-01-18,,10.7,8.0,,0.6,-3.9,,
USC00186350,2011-01-19,,0.3,0.0,,3.3,-2.8,,
USC00186350,2011-01-20,,0.0,0.0,,11.7,0.6,,
USC00186350,2011-01-21,,0.0,0.0,,7.2,-0.6,,
USC00186350,2011-01-22,,0.0,0.0,,3.3,-8.9,,
USC00186350,2011-01-23,,0.0,0.0,,-2.2,-11.1,,
USC00186350,2011-01-24,,0.0,0.0,,-0.6,-12.2,,
USC00186350,2011-01-25,,0.0,0.0,,0.6,-10.6,,
USC00186350,2011-01-26,,8.1,0.0,,8.3,-3.9,,
USC00186350,2011-01-27,,39.4,86.0,,2.2,-1.1,,
USC00186350,2011-01-28,,0.0,0.0,,3.9,-3.3,,
USC00186350,2011-01-29,,1.8,,,3.3,-3.9,,
USC00186350,2011-01-30,,0.0,0.0,,4.4,-6.7,,
USC00186350,2011-01-31,,0.0,0.0,,8.3,-3.9,,
USC00186350,2011-02-01,,0.0,0.0,,0.6,-3.3,,
USC00186350,2011-02-02,,20.6,0.0,,2.8,-2.8,,
USC00186350,2011-02-03,,0.0,0.0,,11.1,-2.8,,
USC00186350,2011-02-04,,0.0,0.0,,2.8,-5.0,,
USC00186350,2011-02-05,,1.0,0.0,,6.1,,,
USC00186350,2011-02-06,,3.0,,,6.7,-5.0,,
USC00186350,2011-02-07,,0.0,,,9.4,-3.3,,
USC00186350,2011-02-08,,0.0,0.0,,11.7,-1.1,,
USC00186350,2011-02-09,,0.0,0.0,,4.4,-7.2,,
USC00186350,2011-02-10,,0.0,0.0,,2.2,-6.1,,
USC00186350,2011-02-11,,0.0,0.0,,2.8,-10.0,,
USC00186350,2011-02-12,,0.0,,,7.8,-6.7,,
USC00186350,2011-02-13,,0.0,,,8.9,-2.8,,
USC00186350,2011-02-14,,0.0,0.0,,13.3,1.1,,
USC00186350,2011-02-15,,0.0,0.0,,20.6,-1.1,,
USC00186350,2011-02-16,,0.0,0.0,,9.4,-3.9,,
USC00186350,2011-02-17,,0.0,0.0,,15.6,1.7,,
USC00186350,2011-02-18,,0.0,0.0,,22.8,7.8,,
USC00186350,2011-02-19,,0.0,,,25.6,8.9,,
USC00186350,2011-02-20,,0.0,,,14.4,-1.1,,
USC00186350,2011-02-21,,0.0,,,10.0,4.4,,
USC00186350,2011-02-22,,8.4,13.0,,7.2,-4.4,,
USC00186350,2011-02-23,,0.0,0.0,,3.3,-6.7,,
USC00186350,2011-02-24,,0.0,0.0,,10.0,-3.9,,
USC00186350,2011-02-25,,7.1,0.0,,12.2,0.6,,
USC00186350,2011-02-26,,1.3,,,11.1,1.7,,
USC00186350,2011-02-27,,0.0,,,10.0,1.1,,
USW00013739,2010-12-01,7.6,27.7,0.0,,18.3,3.9,17.4,
USW00013739,2010-12-02,4.9,0.0,0.0,,5.6,0.0,8.9,
USW00013739,2010-12-03,4.4,0.0,0.0,,5.6,0.6,7.2,
USW00013739,2010-12-04,5.1,0.0,0.0,,4.4,-0.6,8.9,
USW00013739,2010-12-05,7.3,0.0,0.0,,2.8,-1.1,11.6,
USW00013739,2010-12-06,8.8,0.0,0.0,,2.8,-0.6,13.4,
USW00013739,2010-12-07,8.0,0.0,0.0,,2.2,-1.7,11.6,
USW00013739,2010-12-08,6.2,0.0,0.0,,1.7,-4.4,10.3,
USW00013739,2010-12-09,3.9,0.0,0.0,,1.1,-6.1,8.9,
USW00013739,2010-12-10,1.5,0.0,0.0,,2.2,-5.0,5.4,
USW00013739,2010-12-11,1.2,0.5,0.0,,7.2,-3.3,4.5,
USW00013739,2010-12-12,4.7,24.6,0.0,,15.6,5.0,11.6,
USW00013739,2010-12-13,7.4,0.5,0.0,,7.2,-5.6,12.5,
USW00013739,2010-12-14,8.1,0.0,0.0,,-2.8,-7.2,13.9,
USW00013739,2010-12-15,7.6,0.0,0.0,,-0.6,-5.0,11.6,
USW00013739,2010-12-16,3.8,0.3,8.0,,-2.8,-6.7,8.9,
USW00013739,2010-12-17,4.3,0.0,0.0,,1.7,-7.2,7.2,
USW00013739,2010-12-18,2.3,0.0,0.0,,2.2,-6.1,5.4,
USW00013739,2010-12-19,3.7,0.0,0.0,,2.8,-3.9,6.7,
USW00013739,2010-12-20,6.6,0.0,0.0,,3.3,-3.9,10.7,
USW00013739,2010-12-21,5.8,0.0,0.0,,5.0,-1.1,11.2,
USW00013739,2010-12-22,5.3,0.0,0.0,,5.0,-2.2,10.3,
USW00013739,2010-12-23,9.4,0.0,0.0,,3.9,-0.6,14.8,
USW00013739,2010-12-24,6.0,0.0,0.0,,4.4,-1.7,10.7,
USW00013739,2010-12-25,2.3,0.0,0.0,,0.6,-3.3,4.0,
USW00013739,2010-12-26,6.8,26.7,295.0,,-0.6,-5.6,13.4,
USW00013739,2010-12-27,11.1,2.0,20.0,,-0.6,-6.1,18.3,
USW00013739,2010-12-28,6.8,0.0,0.0,,3.9,-3.3,11.6,
USW00013739,2010-12-29,3.4,0.0,0.0,,4.4,-4.4,5.8,
USW00013739,2010-12-30,0.7,0.0,0.0,,6.1,-6.7,3.6,
USW00013739,2010-12-31,1.8,0.0,0.0,,6.7,-2.8,4.5,
USW00013739,2011-01-01,1.3,0.0,0.0,,12.2,-1.1,6.3,
USW00013739,2011-01-02,3.4,2.3,0.0,,12.2,1.7,10.7,
USW00013739,2011-01-03,4.9,0.0,0.0,,2.8,-2.8,9.4,
